title,abstract_snippet,year,venue,citations,influential_citations,doi,url,sources,authors,relevance_score,matched_keywords,reason_included
Is Evaluation Awareness Just Format Sensitivity? Limitations of Probe-Based Evidence under Controlled Prompt Structure,"Prior work uses linear probes on benchmark prompts as evidence of evaluation awareness in large language models. Because evaluation context is typically entangled with benchmark format and genre, it is unclear whether probe-based signals re...",2026,,0,0,,,semantic_scholar,Viliana Devbunova,0.5,primary:title:format sensitivity,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
BenchING: A Benchmark for Evaluating Large Language Models in Following Structured Output Format Instruction in Text-Based Narrative Game Tasks,"In this article, we present BenchING, a new benchmark for evaluating large language models (LLMs) on their ability to follow structured output format instructions in text-based procedural content generation (PCG) tasks. The ability to condi...",2025,IEEE Transactions on Games,3,0,10.1109/TG.2025.3529117,https://doi.org/10.1109/TG.2025.3529117,semantic_scholar,Pittawat Taveekitworachai|M. F. Dewantoro|Yi Xia|Pratch Suntichaikul|R. Thawonmas,0.25,syn:title:output format|syn:title:structured output,matched 2 term(s); primary_in_title_or_abstract=False; raw_score=2.0
Quantifying the Impact of Structured Output Format on Large Language Models through Causal Inference,Structured output from large language models (LLMs) has enhanced efficiency in processing generated information and is increasingly adopted in industrial applications. Prior studies have investigated the impact of structured output on LLMs'...,2025,Conference of the European Chapter of the Association for Computational Linguistics,1,0,10.18653/v1/2026.findings-eacl.91,https://doi.org/10.18653/v1/2026.findings-eacl.91,semantic_scholar|crossref,Han Yuan|Yue Zhao|Li Zhang|Wuqiong Luo|Zheng Ma,0.25,syn:title:output format|syn:title:structured output,matched 2 term(s); primary_in_title_or_abstract=False; raw_score=2.0
